result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    16935, 507257408 req, miss ratio 0.1714, byte miss ratio 0.1714
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size    56450, 507257408 req, miss ratio 0.1033, byte miss ratio 0.1033
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   169350, 507257408 req, miss ratio 0.0610, byte miss ratio 0.0610
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size   564500, 507257408 req, miss ratio 0.0792, byte miss ratio 0.0792
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  1129000, 507257408 req, miss ratio 0.0516, byte miss ratio 0.0516
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  2258000, 507257408 req, miss ratio 0.0181, byte miss ratio 0.0181
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.01-SLRU cache size  4516001, 507257408 req, miss ratio 0.0122, byte miss ratio 0.0122
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size     5645, 507257408 req, miss ratio 0.2474, byte miss ratio 0.2474
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    16935, 507257408 req, miss ratio 0.1662, byte miss ratio 0.1662
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size    56450, 507257408 req, miss ratio 0.1282, byte miss ratio 0.1282
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   169350, 507257408 req, miss ratio 0.0925, byte miss ratio 0.0925
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size   564500, 507257408 req, miss ratio 0.0502, byte miss ratio 0.0502
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  1129000, 507257408 req, miss ratio 0.0291, byte miss ratio 0.0291
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  2258000, 507257408 req, miss ratio 0.0174, byte miss ratio 0.0174
result/strato_negative_result_cache.0.oracleGeneral.sample10.zst              WTinyLFU-w0.10-SLRU cache size  4516001, 507257408 req, miss ratio 0.0123, byte miss ratio 0.0123
