result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      196, 1772758 req, miss ratio 0.8287, byte miss ratio 0.8287
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size      590, 1772758 req, miss ratio 0.7373, byte miss ratio 0.7373
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     1967, 1772758 req, miss ratio 0.5971, byte miss ratio 0.5971
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size     5902, 1772758 req, miss ratio 0.4573, byte miss ratio 0.4573
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    19673, 1772758 req, miss ratio 0.3039, byte miss ratio 0.3039
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    39347, 1772758 req, miss ratio 0.2325, byte miss ratio 0.2325
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size    78695, 1772758 req, miss ratio 0.1847, byte miss ratio 0.1847
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.01-SLRU cache size   157390, 1772758 req, miss ratio 0.1216, byte miss ratio 0.1216
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      196, 1772758 req, miss ratio 0.8115, byte miss ratio 0.8115
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size      590, 1772758 req, miss ratio 0.7300, byte miss ratio 0.7300
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     1967, 1772758 req, miss ratio 0.6046, byte miss ratio 0.6046
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size     5902, 1772758 req, miss ratio 0.4621, byte miss ratio 0.4621
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    19673, 1772758 req, miss ratio 0.3062, byte miss ratio 0.3062
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    39347, 1772758 req, miss ratio 0.2332, byte miss ratio 0.2332
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size    78695, 1772758 req, miss ratio 0.1873, byte miss ratio 0.1873
result/cdn1_lax.ns567.oracleGeneral.bin.zst              WTinyLFU-w0.10-SLRU cache size   157390, 1772758 req, miss ratio 0.1263, byte miss ratio 0.1263
