prn_0.IQI.bin S3FIFO-0.3500-1.9000 cache size     2134, 5585886 req, miss ratio 0.3427, byte miss ratio 0.3427
prn_0.IQI.bin S3FIFO-0.3500-1.9000 cache size     7113, 5585886 req, miss ratio 0.3185, byte miss ratio 0.3185
prn_0.IQI.bin S3FIFO-0.3500-1.9000 cache size    21341, 5585886 req, miss ratio 0.2862, byte miss ratio 0.2862
prn_0.IQI.bin S3FIFO-0.3500-1.9000 cache size    71138, 5585886 req, miss ratio 0.2202, byte miss ratio 0.2202
prn_0.IQI.bin S3FIFO-0.3500-1.9000 cache size   142277, 5585886 req, miss ratio 0.1794, byte miss ratio 0.1794
prn_0.IQI.bin S3FIFO-0.3500-1.9000 cache size   284554, 5585886 req, miss ratio 0.1445, byte miss ratio 0.1445
prn_0.IQI.bin S3FIFO-0.3500-1.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.2000-1.9000 cache size      711, 5585886 req, miss ratio 0.3732, byte miss ratio 0.3732
prn_0.IQI.bin S3FIFO-0.2000-1.9000 cache size     2134, 5585886 req, miss ratio 0.3426, byte miss ratio 0.3426
prn_0.IQI.bin S3FIFO-0.2000-1.9000 cache size     7113, 5585886 req, miss ratio 0.3160, byte miss ratio 0.3160
prn_0.IQI.bin S3FIFO-0.2000-1.9000 cache size    21341, 5585886 req, miss ratio 0.2833, byte miss ratio 0.2833
prn_0.IQI.bin S3FIFO-0.2000-1.9000 cache size    71138, 5585886 req, miss ratio 0.2165, byte miss ratio 0.2165
prn_0.IQI.bin S3FIFO-0.2000-1.9000 cache size   142277, 5585886 req, miss ratio 0.1760, byte miss ratio 0.1760
prn_0.IQI.bin S3FIFO-0.2000-1.9000 cache size   284554, 5585886 req, miss ratio 0.1426, byte miss ratio 0.1426
prn_0.IQI.bin S3FIFO-0.2000-1.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.0500-1.9000 cache size      711, 5585886 req, miss ratio 0.3771, byte miss ratio 0.3771
prn_0.IQI.bin S3FIFO-0.0500-1.9000 cache size     2134, 5585886 req, miss ratio 0.3475, byte miss ratio 0.3475
prn_0.IQI.bin S3FIFO-0.0500-1.9000 cache size     7113, 5585886 req, miss ratio 0.3169, byte miss ratio 0.3169
