cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size  6639437, 210458880 req, miss ratio 0.0813, byte miss ratio 0.0813
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.4500-1.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size    16598, 210458880 req, miss ratio 0.2473, byte miss ratio 0.2473
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size    49795, 210458880 req, miss ratio 0.1986, byte miss ratio 0.1986
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size   165985, 210458880 req, miss ratio 0.1553, byte miss ratio 0.1553
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size   497957, 210458880 req, miss ratio 0.1253, byte miss ratio 0.1253
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size  1659859, 210458880 req, miss ratio 0.1028, byte miss ratio 0.1028
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size  3319718, 210458880 req, miss ratio 0.0926, byte miss ratio 0.0926
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size  6639437, 210458880 req, miss ratio 0.0849, byte miss ratio 0.0849
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.9900-1.9000 cache size 13278874, 210458880 req, miss ratio 0.0804, byte miss ratio 0.0804
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size    16598, 210458880 req, miss ratio 0.2083, byte miss ratio 0.2083
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size    49795, 210458880 req, miss ratio 0.1661, byte miss ratio 0.1661
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   165985, 210458880 req, miss ratio 0.1325, byte miss ratio 0.1325
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size   497957, 210458880 req, miss ratio 0.1087, byte miss ratio 0.1087
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size  1659859, 210458880 req, miss ratio 0.0904, byte miss ratio 0.0904
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size  3319718, 210458880 req, miss ratio 0.0848, byte miss ratio 0.0848
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size  6639437, 210458880 req, miss ratio 0.0813, byte miss ratio 0.0813
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.3500-0.9000 cache size 13278874, 210458880 req, miss ratio 0.0791, byte miss ratio 0.0791
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size    16598, 210458880 req, miss ratio 0.2028, byte miss ratio 0.2028
cdn2_sjc.oracleGeneral.sample10.zst S3FIFO-0.0500-1.9000 cache size    49795, 210458880 req, miss ratio 0.1616, byte miss ratio 0.1616
