prn_1.IQI.bin S3FIFO-0.5000-0.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.8000-1.9000 cache size     2173, 11233411 req, miss ratio 0.7867, byte miss ratio 0.7867
prn_1.IQI.bin S3FIFO-0.8000-1.9000 cache size     6520, 11233411 req, miss ratio 0.7539, byte miss ratio 0.7539
prn_1.IQI.bin S3FIFO-0.8000-1.9000 cache size    21735, 11233411 req, miss ratio 0.7100, byte miss ratio 0.7100
prn_1.IQI.bin S3FIFO-0.8000-1.9000 cache size    65207, 11233411 req, miss ratio 0.6305, byte miss ratio 0.6305
prn_1.IQI.bin S3FIFO-0.8000-1.9000 cache size   217357, 11233411 req, miss ratio 0.4407, byte miss ratio 0.4407
prn_1.IQI.bin S3FIFO-0.8000-1.9000 cache size   434715, 11233411 req, miss ratio 0.3355, byte miss ratio 0.3355
prn_1.IQI.bin S3FIFO-0.8000-1.9000 cache size   869430, 11233411 req, miss ratio 0.2459, byte miss ratio 0.2459
prn_1.IQI.bin S3FIFO-0.8000-1.9000 cache size  1738860, 11233411 req, miss ratio 0.2132, byte miss ratio 0.2132
prn_1.IQI.bin S3FIFO-0.0050-0.9000 cache size     2173, 11233411 req, miss ratio 0.8422, byte miss ratio 0.8422
prn_1.IQI.bin S3FIFO-0.0050-0.9000 cache size     6520, 11233411 req, miss ratio 0.8000, byte miss ratio 0.8000
prn_1.IQI.bin S3FIFO-0.0050-0.9000 cache size    21735, 11233411 req, miss ratio 0.7423, byte miss ratio 0.7423
prn_1.IQI.bin S3FIFO-0.0050-0.9000 cache size    65207, 11233411 req, miss ratio 0.5778, byte miss ratio 0.5778
prn_1.IQI.bin S3FIFO-0.0050-0.9000 cache size   217357, 11233411 req, miss ratio 0.3819, byte miss ratio 0.3819
prn_1.IQI.bin S3FIFO-0.0050-0.9000 cache size   434715, 11233411 req, miss ratio 0.2332, byte miss ratio 0.2332
prn_1.IQI.bin S3FIFO-0.0050-0.9000 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
prn_1.IQI.bin S3FIFO-0.0050-0.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.0050-1.9000 cache size     2173, 11233411 req, miss ratio 0.8399, byte miss ratio 0.8399
prn_1.IQI.bin S3FIFO-0.0050-1.9000 cache size     6520, 11233411 req, miss ratio 0.7990, byte miss ratio 0.7990
prn_1.IQI.bin S3FIFO-0.0050-1.9000 cache size    21735, 11233411 req, miss ratio 0.7376, byte miss ratio 0.7376
prn_1.IQI.bin S3FIFO-0.0050-1.9000 cache size    65207, 11233411 req, miss ratio 0.5860, byte miss ratio 0.5860
prn_1.IQI.bin S3FIFO-0.0050-1.9000 cache size   217357, 11233411 req, miss ratio 0.3888, byte miss ratio 0.3888
prn_1.IQI.bin S3FIFO-0.0050-1.9000 cache size   434715, 11233411 req, miss ratio 0.2351, byte miss ratio 0.2351
prn_1.IQI.bin S3FIFO-0.0050-1.9000 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
prn_1.IQI.bin S3FIFO-0.0050-1.9000 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
prn_1.IQI.bin S3FIFO-0.7000-0.9000 cache size     2173, 11233411 req, miss ratio 0.7877, byte miss ratio 0.7877
prn_1.IQI.bin S3FIFO-0.7000-0.9000 cache size     6520, 11233411 req, miss ratio 0.7510, byte miss ratio 0.7510
prn_1.IQI.bin S3FIFO-0.7000-0.9000 cache size    21735, 11233411 req, miss ratio 0.7050, byte miss ratio 0.7050
