tencentBlock.ns9296 S3FIFO-0.3500-0.9000 cache size   269838, 4957575 req, miss ratio 0.1513, byte miss ratio 0.1513
tencentBlock.ns9296 S3FIFO-0.3500-0.9000 cache size   539677, 4957575 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns9296 S3FIFO-0.9900-0.9000 cache size      674, 4957575 req, miss ratio 0.5735, byte miss ratio 0.5735
tencentBlock.ns9296 S3FIFO-0.9900-0.9000 cache size     2023, 4957575 req, miss ratio 0.4604, byte miss ratio 0.4604
tencentBlock.ns9296 S3FIFO-0.9900-0.9000 cache size     6745, 4957575 req, miss ratio 0.3691, byte miss ratio 0.3691
tencentBlock.ns9296 S3FIFO-0.9900-0.9000 cache size    20237, 4957575 req, miss ratio 0.3127, byte miss ratio 0.3127
tencentBlock.ns9296 S3FIFO-0.9900-0.9000 cache size    67459, 4957575 req, miss ratio 0.2416, byte miss ratio 0.2416
tencentBlock.ns9296 S3FIFO-0.9900-0.9000 cache size   134919, 4957575 req, miss ratio 0.1959, byte miss ratio 0.1959
tencentBlock.ns9296 S3FIFO-0.9900-0.9000 cache size   269838, 4957575 req, miss ratio 0.1614, byte miss ratio 0.1614
tencentBlock.ns9296 S3FIFO-0.9900-0.9000 cache size   539677, 4957575 req, miss ratio 0.1453, byte miss ratio 0.1453
tencentBlock.ns9296 S3FIFO-0.9500-0.9000 cache size      674, 4957575 req, miss ratio 0.5670, byte miss ratio 0.5670
tencentBlock.ns9296 S3FIFO-0.9500-0.9000 cache size     2023, 4957575 req, miss ratio 0.4502, byte miss ratio 0.4502
tencentBlock.ns9296 S3FIFO-0.9500-0.9000 cache size     6745, 4957575 req, miss ratio 0.3632, byte miss ratio 0.3632
tencentBlock.ns9296 S3FIFO-0.9500-0.9000 cache size    20237, 4957575 req, miss ratio 0.3083, byte miss ratio 0.3083
tencentBlock.ns9296 S3FIFO-0.9500-0.9000 cache size    67459, 4957575 req, miss ratio 0.2403, byte miss ratio 0.2403
tencentBlock.ns9296 S3FIFO-0.9500-0.9000 cache size   134919, 4957575 req, miss ratio 0.1952, byte miss ratio 0.1952
tencentBlock.ns9296 S3FIFO-0.9500-0.9000 cache size   269838, 4957575 req, miss ratio 0.1603, byte miss ratio 0.1603
tencentBlock.ns9296 S3FIFO-0.9500-0.9000 cache size   539677, 4957575 req, miss ratio 0.1443, byte miss ratio 0.1443
tencentBlock.ns9296 S3FIFO-0.2000-1.9000 cache size      674, 4957575 req, miss ratio 0.4862, byte miss ratio 0.4862
tencentBlock.ns9296 S3FIFO-0.2000-1.9000 cache size     2023, 4957575 req, miss ratio 0.3484, byte miss ratio 0.3484
tencentBlock.ns9296 S3FIFO-0.2000-1.9000 cache size     6745, 4957575 req, miss ratio 0.3272, byte miss ratio 0.3272
tencentBlock.ns9296 S3FIFO-0.2000-1.9000 cache size    20237, 4957575 req, miss ratio 0.2881, byte miss ratio 0.2881
tencentBlock.ns9296 S3FIFO-0.2000-1.9000 cache size    67459, 4957575 req, miss ratio 0.2388, byte miss ratio 0.2388
tencentBlock.ns9296 S3FIFO-0.2000-1.9000 cache size   134919, 4957575 req, miss ratio 0.1871, byte miss ratio 0.1871
tencentBlock.ns9296 S3FIFO-0.2000-1.9000 cache size   269838, 4957575 req, miss ratio 0.1539, byte miss ratio 0.1539
