cdn1_allcolo.ns2378 S3FIFO-0.8000-0.9000 cache size    11775, 4253977 req, miss ratio 0.3588, byte miss ratio 0.3588
cdn1_allcolo.ns2378 S3FIFO-0.8000-0.9000 cache size    35325, 4253977 req, miss ratio 0.3337, byte miss ratio 0.3337
cdn1_allcolo.ns2378 S3FIFO-0.8000-0.9000 cache size   117751, 4253977 req, miss ratio 0.3070, byte miss ratio 0.3070
cdn1_allcolo.ns2378 S3FIFO-0.8000-0.9000 cache size   235503, 4253977 req, miss ratio 0.2922, byte miss ratio 0.2922
cdn1_allcolo.ns2378 S3FIFO-0.8000-0.9000 cache size   471007, 4253977 req, miss ratio 0.2820, byte miss ratio 0.2820
cdn1_allcolo.ns2378 S3FIFO-0.8000-0.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.5500-1.9000 cache size     1177, 4253977 req, miss ratio 0.4128, byte miss ratio 0.4128
cdn1_allcolo.ns2378 S3FIFO-0.5500-1.9000 cache size     3532, 4253977 req, miss ratio 0.3803, byte miss ratio 0.3803
cdn1_allcolo.ns2378 S3FIFO-0.5500-1.9000 cache size    11775, 4253977 req, miss ratio 0.3507, byte miss ratio 0.3507
cdn1_allcolo.ns2378 S3FIFO-0.5500-1.9000 cache size    35325, 4253977 req, miss ratio 0.3256, byte miss ratio 0.3256
cdn1_allcolo.ns2378 S3FIFO-0.5500-1.9000 cache size   117751, 4253977 req, miss ratio 0.2993, byte miss ratio 0.2993
cdn1_allcolo.ns2378 S3FIFO-0.5500-1.9000 cache size   235503, 4253977 req, miss ratio 0.2878, byte miss ratio 0.2878
cdn1_allcolo.ns2378 S3FIFO-0.5500-1.9000 cache size   471007, 4253977 req, miss ratio 0.2805, byte miss ratio 0.2805
cdn1_allcolo.ns2378 S3FIFO-0.5500-1.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.0500-1.9000 cache size     1177, 4253977 req, miss ratio 0.4177, byte miss ratio 0.4177
cdn1_allcolo.ns2378 S3FIFO-0.0500-1.9000 cache size     3532, 4253977 req, miss ratio 0.3820, byte miss ratio 0.3820
cdn1_allcolo.ns2378 S3FIFO-0.0500-1.9000 cache size    11775, 4253977 req, miss ratio 0.3488, byte miss ratio 0.3488
cdn1_allcolo.ns2378 S3FIFO-0.0500-1.9000 cache size    35325, 4253977 req, miss ratio 0.3211, byte miss ratio 0.3211
cdn1_allcolo.ns2378 S3FIFO-0.0500-1.9000 cache size   117751, 4253977 req, miss ratio 0.2966, byte miss ratio 0.2966
cdn1_allcolo.ns2378 S3FIFO-0.0500-1.9000 cache size   235503, 4253977 req, miss ratio 0.2873, byte miss ratio 0.2873
cdn1_allcolo.ns2378 S3FIFO-0.0500-1.9000 cache size   471007, 4253977 req, miss ratio 0.2804, byte miss ratio 0.2804
cdn1_allcolo.ns2378 S3FIFO-0.0500-1.9000 cache size   942014, 4253977 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_allcolo.ns2378 S3FIFO-0.1000-0.9000 cache size     1177, 4253977 req, miss ratio 0.4143, byte miss ratio 0.4143
cdn1_allcolo.ns2378 S3FIFO-0.1000-0.9000 cache size     3532, 4253977 req, miss ratio 0.3794, byte miss ratio 0.3794
cdn1_allcolo.ns2378 S3FIFO-0.1000-0.9000 cache size    11775, 4253977 req, miss ratio 0.3476, byte miss ratio 0.3476
cdn1_allcolo.ns2378 S3FIFO-0.1000-0.9000 cache size    35325, 4253977 req, miss ratio 0.3211, byte miss ratio 0.3211
