result/cdn1_nyc.ns113.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size    70447, 2066009 req, miss ratio 0.1211, byte miss ratio 0.1211
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size   140894, 2066009 req, miss ratio 0.0883, byte miss ratio 0.0883
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO cache size      176, 2066009 req, miss ratio 0.5148, byte miss ratio 0.5148
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO cache size      528, 2066009 req, miss ratio 0.4100, byte miss ratio 0.4100
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO cache size     1761, 2066009 req, miss ratio 0.3100, byte miss ratio 0.3100
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO cache size     5283, 2066009 req, miss ratio 0.2466, byte miss ratio 0.2466
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO cache size    17611, 2066009 req, miss ratio 0.1950, byte miss ratio 0.1950
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO cache size    35223, 2066009 req, miss ratio 0.1615, byte miss ratio 0.1615
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO cache size    70447, 2066009 req, miss ratio 0.1210, byte miss ratio 0.1210
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO cache size   140894, 2066009 req, miss ratio 0.0890, byte miss ratio 0.0890
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d cache size      176, 2066009 req, miss ratio 0.5826, byte miss ratio 0.5826
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d cache size      528, 2066009 req, miss ratio 0.4356, byte miss ratio 0.4356
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d cache size     1761, 2066009 req, miss ratio 0.3138, byte miss ratio 0.3138
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d cache size     5283, 2066009 req, miss ratio 0.2472, byte miss ratio 0.2472
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d cache size    17611, 2066009 req, miss ratio 0.1950, byte miss ratio 0.1950
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d cache size    35223, 2066009 req, miss ratio 0.1616, byte miss ratio 0.1616
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-d cache size    70447, 2066009 req, miss ratio 0.1211, byte miss ratio 0.1211
