result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      902, 2147283 req, miss ratio 0.2486, byte miss ratio 0.2486
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2707, 2147283 req, miss ratio 0.1864, byte miss ratio 0.1864
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     9023, 2147283 req, miss ratio 0.1072, byte miss ratio 0.1072
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    18046, 2147283 req, miss ratio 0.0763, byte miss ratio 0.0763
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    36093, 2147283 req, miss ratio 0.0555, byte miss ratio 0.0555
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    72187, 2147283 req, miss ratio 0.0438, byte miss ratio 0.0438
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size       90, 2147283 req, miss ratio 0.3779, byte miss ratio 0.3779
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      270, 2147283 req, miss ratio 0.3169, byte miss ratio 0.3169
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      902, 2147283 req, miss ratio 0.2407, byte miss ratio 0.2407
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2707, 2147283 req, miss ratio 0.1724, byte miss ratio 0.1724
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     9023, 2147283 req, miss ratio 0.1033, byte miss ratio 0.1033
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    18046, 2147283 req, miss ratio 0.0747, byte miss ratio 0.0747
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    36093, 2147283 req, miss ratio 0.0560, byte miss ratio 0.0560
result/cdn2_allcolo.ns2265.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    72187, 2147283 req, miss ratio 0.0452, byte miss ratio 0.0452
